x;y;velocityY;velocityStaggered
0.0;0.0;1.089876331516946e-05;2.179752663033892e-05
0.007874015748031496;0.007874015748031496;-1.883112114253638e-05;-3.766224228507276e-05
0.015748031496062992;0.007874015748031496;-5.8816278343218036e-05;-0.00011763255668643607
0.023622047244094488;0.007874015748031496;-9.499180835048751e-05;-0.00018998361670097502
0.031496062992125984;0.007874015748031496;-0.0001226990668319867;-0.0002453981336639734
0.03937007874015748;0.007874015748031496;-0.00014055861000679482;-0.00028111722001358965
0.047244094488188976;0.007874015748031496;-0.00014858179368395602;-0.00029716358736791204
0.05511811023622047;0.007874015748031496;-0.0001475930649477719;-0.0002951861298955438
0.06299212598425197;0.007874015748031496;-0.0001390237062787996;-0.0002780474125575992
0.07086614173228346;0.007874015748031496;-0.00012470950476129946;-0.00024941900952259893
0.07874015748031496;0.007874015748031496;-0.0001067087854881819;-0.0002134175709763638
0.08661417322834646;0.007874015748031496;-8.706793822328571e-05;-0.00017413587644657142
0.09448818897637795;0.007874015748031496;-6.766104398339501e-05;-0.00013532208796679002
0.10236220472440945;0.007874015748031496;-5.0017578353728453e-05;-0.00010003515670745691
0.11023622047244094;0.007874015748031496;-3.526559910563907e-05;-7.053119821127814e-05
0.11811023622047244;0.007874015748031496;-2.4060203445364698e-05;-4.8120406890729396e-05
0.12598425196850394;0.007874015748031496;-1.6627182163744587e-05;-3.3254364327489175e-05
0.13385826771653542;0.007874015748031496;-1.2763003935018357e-05;-2.5526007870036714e-05
0.14173228346456693;0.007874015748031496;-1.1940868279696354e-05;-2.388173655939271e-05
0.14960629921259844;0.007874015748031496;-1.3348469426401332e-05;-2.6696938852802664e-05
0.15748031496062992;0.007874015748031496;-1.6031355380339488e-05;-3.2062710760678976e-05
0.1653543307086614;0.007874015748031496;-1.894864131089524e-05;-3.789728262179048e-05
0.1732283464566929;0.007874015748031496;-2.112998974917082e-05;-4.225997949834164e-05
0.18110236220472442;0.007874015748031496;-2.1713985544053417e-05;-4.3427971088106835e-05
0.1889763779527559;0.007874015748031496;-2.0069917950635894e-05;-4.013983590127179e-05
0.19685039370078738;0.007874015748031496;-1.5765076300162165e-05;-3.153015260032433e-05
0.2047244094488189;0.007874015748031496;-8.608385381795555e-06;-1.721677076359111e-05
0.2125984251968504;0.007874015748031496;1.4676787534563359e-06;2.9353575069126718e-06
0.2204724409448819;0.007874015748031496;1.441771029216648e-05;2.883542058433296e-05
0.22834645669291337;0.007874015748031496;3.0227727086351678e-05;6.0455454172703355e-05
0.23622047244094488;0.007874015748031496;4.890322571243661e-05;9.780645142487322e-05
0.2440944881889764;0.007874015748031496;7.056874887687506e-05;0.0001411374977537501
0.25196850393700787;0.007874015748031496;9.5389843527388e-05;0.000190779687054776
0.25984251968503935;0.007874015748031496;0.00012362107107902258;0.00024724214215804516
0.26771653543307083;0.007874015748031496;0.0001554879473256816;0.0003109758946513632
0.2755905511811024;0.007874015748031496;0.00019122628745257787;0.00038245257490515574
0.28346456692913385;0.007874015748031496;0.00023096625748011385;0.0004619325149602277
0.29133858267716534;0.007874015748031496;0.00027479058162001557;0.0005495811632400311
0.2992125984251969;0.007874015748031496;0.00032263064278482414;0.0006452612855696483
0.30708661417322836;0.007874015748031496;0.00037433972855339693;0.0007486794571067939
0.31496062992125984;0.007874015748031496;0.00042959273889793596;0.0008591854777958719
0.3228346456692913;0.007874015748031496;0.00048796762365622607;0.0009759352473124521
0.3307086614173228;0.007874015748031496;0.0005488474250247528;0.0010976948500495056
0.33858267716535434;0.007874015748031496;0.0006115126615855678;0.0012230253231711357
0.3464566929133858;0.007874015748031496;0.0006750509138833057;0.0013501018277666114
0.3543307086614173;0.007874015748031496;0.0007384643702669387;0.0014769287405338775
0.36220472440944884;0.007874015748031496;0.0008005896360377173;0.0016011792720754345
0.3700787401574803;0.007874015748031496;0.0008602200208249377;0.0017204400416498753
0.3779527559055118;0.007874015748031496;0.0009160331522446632;0.0018320663044893264
0.3858267716535433;0.007874015748031496;0.0009667229581805755;0.001933445916361151
0.39370078740157477;0.007874015748031496;0.0010109291494253942;0.0020218582988507884
0.4015748031496063;0.007874015748031496;0.0010473717492823595;0.002094743498564719
0.4094488188976378;0.007874015748031496;0.001074775903622924;0.002149551807245848
0.41732283464566927;0.007874015748031496;0.0010920025032147471;0.0021840050064294942
0.4251968503937008;0.007874015748031496;0.0010979636591149028;0.0021959273182298056
0.4330708661417323;0.007874015748031496;0.0010917459887107824;0.0021834919774215648
0.4409448818897638;0.007874015748031496;0.0010725161546597918;0.0021450323093195837
0.44881889763779526;0.007874015748031496;0.0010396379784376984;0.002079275956875397
0.45669291338582674;0.007874015748031496;0.000992571780566967;0.001985143561133934
0.4645669291338583;0.007874015748031496;0.0009309898014800648;0.0018619796029601297
0.47244094488188976;0.007874015748031496;0.0008546749492101559;0.0017093498984203119
0.48031496062992124;0.007874015748031496;0.0007636394045311188;0.0015272788090622375
0.4881889763779528;0.007874015748031496;0.0006580275322295214;0.0013160550644590427
0.49606299212598426;0.007874015748031496;0.0005382407446133452;0.0010764814892266904
0.5039370078740157;0.007874015748031496;0.00040484679472298094;0.0008096935894459619
0.5118110236220472;0.007874015748031496;0.0002587108613482851;0.0005174217226965702
0.5196850393700787;0.007874015748031496;0.00010090984541545136;0.0002018196908309027
0.5275590551181102;0.007874015748031496;-6.713432285184802e-05;-0.00013426864570369605
0.5354330708661417;0.007874015748031496;-0.00024374098333197923;-0.00048748196666395846
0.5433070866141733;0.007874015748031496;-0.00042684349712237017;-0.0008536869942447403
