x;y;velocityX;velocityStaggered
0.0;0.0;-7.069351249700163e-05;-0.00014138702499400327
0.007874015748031496;0.007874015748031496;-0.00027653464832197514;-0.0004116822716499471
0.015748031496062992;0.007874015748031496;-0.0005388203917439825;-0.0006659585118380178
0.023622047244094488;0.007874015748031496;-0.0007628547067650546;-0.0008597509016920913
0.031496062992125984;0.007874015748031496;-0.0009207975141355878;-0.0009818441265790844
0.03937007874015748;0.007874015748031496;-0.0010050903604067844;-0.0010283365942344847
0.047244094488188976;0.007874015748031496;-0.001013957900799565;-0.000999579207364645
0.05511811023622047;0.007874015748031496;-0.0009499028166165613;-0.0009002264258684777
0.06299212598425197;0.007874015748031496;-0.0008190555573662352;-0.0007378846888639926
0.07086614173228346;0.007874015748031496;-0.0006294269998850211;-0.0005209693109060496
0.07874015748031496;0.007874015748031496;-0.00038871142080575214;-0.0002564535307054546
0.08661417322834646;0.007874015748031496;-0.0001023538030717061;5.174592456204238e-05
0.09448818897637795;0.007874015748031496;0.0002277043812314868;0.0004036628379009312
0.10236220472440945;0.007874015748031496;0.0006034143547992156;0.0008031658716975001
0.11023622047244094;0.007874015748031496;0.001030188140989157;0.0012572104102808138
0.11811023622047244;0.007874015748031496;0.0015158157333263799;0.0017744210563719462
0.12598425196850394;0.007874015748031496;0.002068982972883225;0.0023635448893945033
0.13385826771653542;0.007874015748031496;0.002697603877951097;0.0030316628665076908
0.14173228346456693;0.007874015748031496;0.0034071361198592873;0.003782609373210884
0.14960629921259844;0.007874015748031496;0.004198953807593321;0.004615298241975758
0.15748031496062992;0.007874015748031496;0.0050688205640932425;0.005522342886210728
0.1653543307086614;0.007874015748031496;0.006005479344560149;0.006488615802909571
0.1732283464566929;0.007874015748031496;0.006989438288411073;0.007490260773912577
0.18110236220472442;0.007874015748031496;0.00799209595730175;0.00849393114069092
0.1889763779527559;0.007874015748031496;0.008975464623233393;0.009456998105775865
0.19685039370078738;0.007874015748031496;0.009892798474193623;0.010328598842611381
0.2047244094488189;0.007874015748031496;0.010690444141490058;0.011052289440368734
0.2125984251968504;0.007874015748031496;0.01131109745794378;0.011569905475518822
0.2204724409448819;0.007874015748031496;0.011698450191826974;0.011826994908135125
0.22834645669291337;0.007874015748031496;0.01180291525286956;0.011778835597603994
0.23622047244094488;0.007874015748031496;0.011587871730521839;0.011396907863439684
0.2440944881889764;0.007874015748031496;0.011035669059519462;0.01067443025559924
0.25196850393700787;0.007874015748031496;0.010152567920446134;0.009630705585293026
0.25984251968503935;0.007874015748031496;0.008971842889512792;0.008312980193732559
0.26771653543307083;0.007874015748031496;0.007554235047547837;0.0067954899013631135
0.2755905511811024;0.007874015748031496;0.005984500445725602;0.00517351099008809
0.28346456692913385;0.007874015748031496;0.004363775768969916;0.003554040547851742
0.29133858267716534;0.007874015748031496;0.002796015212225029;0.0020379898765983165
0.2992125984251969;0.007874015748031496;0.0013649321653894132;0.0006918744541805099
0.30708661417322836;0.007874015748031496;0.00011271054454316311;-0.0004664533650941837
0.31496062992125984;0.007874015748031496;-0.0009668226127880434;-0.001467191860481903
0.3228346456692913;0.007874015748031496;-0.0019347306794851886;-0.0024022694984884743
0.3307086614173228;0.007874015748031496;-0.0029073542501801067;-0.003412439001871739
0.33858267716535434;0.007874015748031496;-0.004019904475542786;-0.0046273699492138335
0.3464566929133858;0.007874015748031496;-0.005384316736292584;-0.006141263523371334
0.3543307086614173;0.007874015748031496;-0.0070910948507329225;-0.00804092617809451
0.36220472440944884;0.007874015748031496;-0.009223796690879481;-0.010406667203664451
0.3700787401574803;0.007874015748031496;-0.011843853262629784;-0.013281039321595115
0.3779527559055118;0.007874015748031496;-0.014970653510231573;-0.016660267698868032
0.3858267716535433;0.007874015748031496;-0.018593737195581234;-0.020527206692294436
0.39370078740157477;0.007874015748031496;-0.022711535679628525;-0.024895864666962617
0.4015748031496063;0.007874015748031496;-0.027358671643862596;-0.029821478620762572
0.4094488188976378;0.007874015748031496;-0.03259096268644591;-0.035360446752129245
0.41732283464566927;0.007874015748031496;-0.0384357508730243;-0.04151105499391936
0.4251968503937008;0.007874015748031496;-0.044841333630879776;-0.04817161226784019
0.4330708661417323;0.007874015748031496;-0.05165360990585598;-0.05513560754387177
0.4409448818897638;0.007874015748031496;-0.05862749513380003;-0.06211938272372829
0.44881889763779526;0.007874015748031496;-0.0654630425199266;-0.06880670231612492
0.45669291338582674;0.007874015748031496;-0.07184946619168203;-0.07489223006723914
0.4645669291338583;0.007874015748031496;-0.07750304539828867;-0.08011386072933821
0.47244094488188976;0.007874015748031496;-0.08219179296391003;-0.08426972519848186
0.48031496062992124;0.007874015748031496;-0.08574627462731138;-0.08722282405614092
0.4881889763779528;0.007874015748031496;-0.08805978406250015;-0.08889674406885938
0.49606299212598426;0.007874015748031496;-0.08908210247560729;-0.0892674608823552
0.5039370078740157;0.007874015748031496;-0.0888103837500901;-0.08835330661782498
0.5118110236220472;0.007874015748031496;-0.08727949056210274;-0.0862056745063805
0.5196850393700787;0.007874015748031496;-0.08455301793766082;-0.08290036136894112
0.5275590551181102;0.007874015748031496;-0.08071550413687628;-0.07853064690481144
0.5354330708661417;0.007874015748031496;-0.07586591899249873;-0.07320119108018602
0.5433070866141733;0.007874015748031496;-0.0701123387803711;-0.06702348648055619
0.5511811023622047;0.007874015748031496;-0.06356767391801726;-0.060111861355478344
0.5590551181102362;0.007874015748031496;-0.05634632773430549;-0.05258079411313265
0.5669291338582677;0.007874015748031496;-0.04856170380933386;-0.044542613505535074
